
 average mark of class were 74.4987


 avg marks of each students in the class are as following :- 

 	Roll no   :  avg marks 

	 1		 :		76.4
	 2		 :		72.0
	 3		 :		79.2
	 4		 :		61.5
	 5		 :		79.75
	 6		 :		79.6
	 7		 :		83.6
	 8		 :		78.2
	 9		 :		76.75
	 10		 :		80.0
	 11		 :		80.25
	 12		 :		51.2
	 13		 :		58.2
	 14		 :		88.8
	 15		 :		73.75
	 16		 :		77.8
	 17		 :		80.5
	 18		 :		64.6
	 20		 :		91.6
	 21		 :		59.6
	 22		 :		86.2
	 23		 :		64.5
	 24		 :		85.6
	 25		 :		82.2
	 26		 :		93.4
	 27		 :		68.25
	 28		 :		81.25
	 29		 :		80.25
	 30		 :		78.6
	 31		 :		80.2
	 32		 :		69.67
	 33		 :		86.2
	 34		 :		67.4
	 35		 :		79.4
	 36		 :		45.8
	 37		 :		76.8
	 38		 :		85.2
	 39		 :		71.0
	 40		 :		89.2
	 41		 :		78.8
	 42		 :		63.4
	 43		 :		89.8
	 44		 :		73.0
	 45		 :		25.0
	 46		 :		78.0
	 47		 :		80.4
	 48		 :		74.4
	 49		 :		77.2
	 50		 :		24.25
	 51		 :		78.4
	 52		 :		76.75
	 53		 :		77.5
	 54		 :		87.2
	 55		 :		76.6
	 56		 :		78.0
	 57		 :		83.6
	 58		 :		80.8
	 59		 :		80.2
	 60		 :		73.2
	 61		 :		78.4
	 62		 :		77.0
	 63		 :		81.2
	 64		 :		83.0
	 65		 :		67.2
	 66		 :		83.4
	 67		 :		30.0
	 68		 :		77.0
	 69		 :		78.2
	 70		 :		76.2
	 71		 :		75.8
	 72		 :		78.6
	 73		 :		71.2
	 74		 :		84.4
	 75		 :		80.2
	 76		 :		40.6
	 77		 :		70.0
	 78		 :		77.4
	 79		 :		80.4
	 80		 :		60.6
	 81		 :		88.4
	 82		 :		77.0
	 83		 :		59.2
	 84		 :		81.4
	 85		 :		79.6
	 86		 :		80.0
	 87		 :		79.2
	 88		 :		75.25
	 89		 :		48.4
	 90		 :		75.8
	 91		 :		73.33
	 92		 :		79.2
	 93		 :		82.67
	 94		 :		61.6
	 95		 :		77.4
	 96		 :		77.2
	 97		 :		64.4
	 98		 :		87.2
	 99		 :		71.6
	 100		 :		84.8
